10.128.0.0/14 Region 1 (eu-west-1)

    "10.128.0.0/15","ns3.mediait.ch","Size M","7.0%"

        "10.130.30.0/24","StackId: arn:aws:cloudformation:eu-west-1:562474801279:stack/SC-562474801279-pp-52ophsyx5vzje/780d1020-8d31-11ee-9b90-0a1fd4edd525 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.31.0/24","StackId: arn:aws:cloudformation:eu-west-1:013453632133:stack/SC-013453632133-pp-ds47ijo3optx4/a7f2fd80-2198-11ef-8172-0a6ff588ff67 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.32.0/24","StackId: arn:aws:cloudformation:eu-west-1:654654515057:stack/SC-654654515057-pp-bbavfyid3yhva/59690810-27ee-11ef-bd6c-0aa3a1768a43 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.33.0/24","StackId: arn:aws:cloudformation:eu-west-1:026090544750:stack/SC-026090544750-pp-jdp3fll73lyac/ccaac300-6a91-11ef-9eea-0626295d51a3 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.34.0/24","StackId: arn:aws:cloudformation:eu-west-1:329599660537:stack/SC-329599660537-pp-d2vqvtuzrmsau/46671090-0ee3-11f0-8e2c-022f172e9e39 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.130.35.0/24","StackId: arn:aws:cloudformation:eu-west-1:013453632133:stack/SC-013453632133-pp-c3jjwy5obaedy/d89fd610-78db-11f0-87c4-02a09419e4dd LogicalResourceId: VpcIpAddressesCustomResource",


    "10.131.0.0/17","ns3.mediait.ch","Size L","0.0%"

    "10.131.128.0/17","ns3.mediait.ch","Size XL","0.0%"

10.136.0.0/14 Region 3 (eu-central-1) 

    "10.136.0.0/15","ns3.mediait.ch","Size M","10.0%",

        "10.136.0.0/22","StackId: arn:aws:cloudformation:eu-central-1:320063451603:stack/SC-320063451603-pp-a6jf3ose5gmtg/4965e090-cd72-11e9-8bf6-0256416c8242 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.4.0/22","StackId: arn:aws:cloudformation:eu-central-1:789431703521:stack/SC-789431703521-pp-dkquh4g4btisi/fdfea2f0-f408-11e9-b5a1-066084ff6f3a LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.8.0/22","StackId: arn:aws:cloudformation:eu-central-1:881267245737:stack/SC-881267245737-pp-ilegp7kck2xr2/21406330-f4d5-11e9-81cb-0a322bcecbc4 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.12.0/22","StackId: arn:aws:cloudformation:eu-central-1:893569739659:stack/SC-893569739659-pp-jsm6e5jpy7dcu/27014a20-f4d8-11e9-b5a1-066084ff6f3a LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.16.0/22","StackId: arn:aws:cloudformation:eu-central-1:893569739659:stack/SC-893569739659-pp-56wa7dhumaz6k/1b381200-f4dd-11e9-a203-0a0e69a2b94e LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.20.0/22","StackId: arn:aws:cloudformation:eu-central-1:706370317738:stack/SC-706370317738-pp-b5nceoppebmw6/e0cc17d0-f64c-11e9-bf3e-0264b9b54242 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.24.0/22","StackId: arn:aws:cloudformation:eu-central-1:495467222175:stack/SC-495467222175-pp-dimpsdyb4vgeu/6d102df0-ffd3-11e9-888d-0a4de0a8f3d8 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.28.0/22","StackId: arn:aws:cloudformation:eu-central-1:269132892972:stack/SC-269132892972-pp-tnplp2glhkgfi/0aa52f90-0f8b-11ea-9feb-02722d612c06 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.32.0/22","StackId: arn:aws:cloudformation:eu-central-1:883535314275:stack/SC-883535314275-pp-qp5s2eiwnmdpi/2d5b0730-1b52-11ea-a158-06a619e5de86 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.36.0/22","StackId: arn:aws:cloudformation:eu-central-1:585856864837:stack/SC-585856864837-pp-linapx2ho4gcs/6354ab10-5325-11ea-8b6d-06a85d409ac4 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.40.0/22","StackId: arn:aws:cloudformation:eu-central-1:810965881435:stack/SC-810965881435-pp-qs5egeqwn6kek/5a3249f0-5df4-11ea-82ac-0a3f741aced4 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.44.0/22","StackId: arn:aws:cloudformation:eu-central-1:165361074946:stack/SC-165361074946-pp-kldrogodbad5o/413edc60-5df9-11ea-9642-06b323d6b6e2 LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.48.0/22","StackId: arn:aws:cloudformation:eu-central-1:013453632133:stack/SC-013453632133-pp-me4mjgmdzyd4g/fbeeefb0-b21c-11ea-aafe-0a233b5d9d4c LogicalResourceId: VpcIpAddressesCustomResource",
        "10.136.52.0/22","StackId: arn:aws:cloudformation:eu-central-1:209479273692:stack/SC-209479273692-pp-kxa2jnqvsrgbw/8cc4e630-6aaf-11ef-ad50-0a62dacad119 LogicalResourceId: VpcIpAddressesCustomResource",

    "10.138.0.0/16","ns3.mediait.ch","Size S","6.0%",

